Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0603_,1,10uF 35V,C194427
"C10, C11, C13, C14, C15, C17, C18, C19, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C5, C6, C7, C8, C9",C_0402,23,100nF,
C12,C_0402,1,10uF,C15525
C16,C_0603,1,22uF,
C2,C_0603_,1,10uF 6.3V,C1691
C20,CP_EIA-3528-21_Kemet-B,1,220uF Tant,C122649
C3,C_0603_,1,100nF,
C31,CP_EIA-7343-31_Kemet-D,1,C_Polarized,C106188
C4,C_0402,1,1uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D3, D4, D5, D6, D7, D8, D9",SMD1010,20,XL-1010RGBC-WS2812B,C5349953
J2,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,JST-PH-SM4-TB,C295747
J5,USB-C-Socket-H,1,USB-C-Socket-H,C709357
L1,L_4x4_,1,10uH,
R1,R_0402_,1,124k,
R2,R_0402_,1,39k2,
R3,R_0402_,1,1M,
R4,R_0402,1,634K,
R6,R_0402,1,10K,
"R7, R8",R_0402,2,5K1,
SW1,SW_Push_1TS009xxxx-xxxx-xxxx_6x6x5mm,1,SW_SPST,C390925
U1,SOT-23-6-MD8942,1,MD8942,C2684786
U2,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1,C3013941
U4,ICS43434_MEMS_Mic_Open,1,ICS43434,C5656610
U6,WLP-1.437mmx1.347mm-0.21mm-ball,1,MAX98357A,C2682619
