Designator,Mid X,Mid Y,Rotation,Layer
C1,45.0,32.5,180.0,top
C10,23.25,16.5,270.0,top
C11,53.0,32.5,0.0,top
C12,45.0,22.0,270.0,top
C13,53.0,27.5,0.0,top
C14,44.0,22.0,270.0,top
C15,26.25,51.5,90.0,top
C16,25.0,51.5,90.0,top
C17,53.0,22.5,0.0,top
C18,53.0,17.5,0.0,top
C19,53.0,12.5,0.0,top
C2,45.0,37.5,180.0,top
C20,22.25,35.0,180.0,top
C21,17.0,12.5,180.0,top
C22,17.0,17.5,180.0,top
C23,17.0,22.5,180.0,top
C24,17.0,27.5,180.0,top
C25,17.0,32.5,180.0,top
C26,17.0,37.5,180.0,top
C27,17.0,42.5,180.0,top
C28,17.0,47.5,180.0,top
C29,17.0,52.5,180.0,top
C3,45.7,35.0,90.0,top
C30,17.0,57.5,180.0,top
C31,35.0,23.5,0.0,top
C4,43.8,52.35,90.0,top
C5,53.0,57.5,0.0,top
C6,53.0,52.5,0.0,top
C7,53.0,47.5,0.0,top
C8,53.0,42.5,0.0,top
C9,53.0,37.5,0.0,top
D1,54.75,52.5,90.0,top
D10,54.75,12.5,90.0,top
D11,15.25,12.5,270.0,top
D12,15.25,17.5,270.0,top
D13,15.25,22.5,270.0,top
D14,15.25,27.5,270.0,top
D15,15.25,32.5,270.0,top
D16,15.25,37.5,270.0,top
D17,15.25,42.5,270.0,top
D18,15.25,47.5,270.0,top
D19,15.25,52.5,270.0,top
D2,54.75,47.5,90.0,top
D20,15.25,57.5,270.0,top
D3,54.75,57.5,90.0,top
D4,54.75,42.5,90.0,top
D5,54.75,37.5,90.0,top
D6,54.75,32.5,90.0,top
D7,54.75,27.5,90.0,top
D8,54.75,22.5,90.0,top
D9,54.75,17.5,90.0,top
J2,47.75,15.5,0.0,top
J5,35.0,15.765,0.0,top
L1,48.3,35.0,90.0,top
P1,50.75,13.0,270.0,bottom
P2,44.75,13.0,270.0,bottom
R1,41.8,35.0,90.0,top
R2,41.8,36.800001,90.0,top
R3,41.8,33.2,90.0,top
R4,42.7,24.1,90.0,top
R6,43.8,50.45,90.0,top
R7,29.0,19.5,180.0,top
R8,41.0,19.5,180.0,top
SW1,35.0,35.0,0.0,top
U1,43.7,35.0,90.0,top
U2,35.0,46.25,0.0,top
U4,22.25,12.35,270.0,top
U6,42.0,22.0,90.0,top
