Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_EIA-3528-21_Kemet-B,1,220uF Tant,
"C10, C13, C2, C4, C5, C6, C8",C_0402,7,100nF,
"C11, C7",C_0402,2,10uF 6.3V,
C16,C_0805,1,100uF,
C3,C_0603,1,22uF,
C9,C_0402,1,1uF,
"D1, D4, D5, D6",SMD1010,4,XL-1010RGBC-WS2812B,
D2,DFN1006-2L,1,~,
D3,D_SOD-123,1,MBR0530,
J1,1.25T-2PWT (Molex 532610271),1,Battery,C177225
J2,AA-Pad,1,Reset,
J4,TF_PUSH,1,TF_PUSH,
J5,USB-C-Socket-H,1,USB-C-Socket-H,
Q2,SOT-23,1,CJ2301,
"R1, R10, R11, R12, R13, R14, R2, R3, R7, R8, R9",R_0402,11,10K,
"R5, R6",R_0402,2,5K1,
SW1,TS-1092S-B3D2-G,1,SW_Push,
U1,ICS43434_MEMS_Mic,1,R,
U2,ICS43434_MEMS_Mic,1,L,
U3,SOT-23-5,1,TP4054,
U4,SOT-23-5,1,ME6211C33M5G-N,
U6,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1,
