Designator,Mid X,Mid Y,Rotation,Layer
C1,58.0,34.0,0.0,top
C10,24.0,26.0,270.0,top
C11,24.0,44.0,270.0,top
C12,29.05,24.0,270.0,top
C14,41.2,24.0,270.0,top
C2,43.4,41.8,270.0,top
C3,58.0,36.0,0.0,top
C4,26.7,39.8,90.0,top
C5,45.1,42.4,270.0,top
C6,45.0,29.5,270.0,top
C7,51.0,46.2,0.0,top
C9,48.5625,30.5,0.0,top
D1,53.2,34.5,270.0,top
D10,31.0,24.2,90.0,top
D2,55.1,34.0,0.0,top
D3,50.5,43.5,90.0,top
D4,39.0,24.2,90.0,top
D5,37.0,24.2,90.0,top
D6,35.0,24.2,90.0,top
D7,25.0,27.5,0.0,top
D8,33.0,24.2,90.0,top
D9,25.0,42.5,0.0,top
J4,32.199999999999996,33.95,90.0,bottom
J5,55.235,42.0,90.0,top
J6,55.2,28.75,180.0,top
Q1,49.5625,39.6875,0.0,top
R1,44.2,26.1,270.0,top
R10,29.05,25.8,90.0,top
R11,49.7,46.3,90.0,top
R12,55.0,37.0,180.0,top
R13,55.1,46.8,0.0,top
R14,52.65,30.65,270.0,top
R15,52.1,30.65,90.0,top
R16,51.55,30.65,270.0,top
R2,44.2,42.4,270.0,top
R3,34.15,25.8,90.0,top
R4,33.3,25.8,90.0,top
R5,32.45,25.8,90.0,top
R6,31.6,25.8,90.0,top
R7,30.75,25.8,90.0,top
R8,46.6,41.6,0.0,top
R9,29.9,25.8,90.0,top
SW1,48.0,35.0,180.0,top
U1,35.0,34.5,0.0,top
U2,55.5,35.5,180.0,top
U3,46.0625,39.6875,180.0,top
U4,48.05,44.0,0.0,top
U5,22.5,45.5,90.0,bottom
U6,22.5,24.5,270.0,bottom
